#;Město;Okres
347;Nové Město pod Smrkem;okres Liberec
348;Jablonné v Podještědí;okres Liberec
349;Zlaté Hory;okres Jeseník
350;Volary;okres Prachatice
351;Židlochovice;okres Brno-venkov
352;Lázně Bělohrad;okres Jičín
353;Dobrovice;okres Mladá Boleslav
354;Zbýšov;okres Brno-venkov
355;Kamenice nad Lipou;okres Pelhřimov
356;Stod;okres Plzeň-jih
357;Lanžhot;okres Břeclav
358;České Velenice;okres Jindřichův Hradec
359;Libčice nad Vltavou;okres Praha-západ
360;Suchdol nad Lužnicí;okres Jindřichův Hradec
361;Valtice;okres Břeclav
362;Březnice;okres Příbram
363;Nepomuk;okres Plzeň-jih
364;Štěpánov;okres Olomouc
365;Libušín;okres Kladno
366;Benešov nad Ploučnicí;okres Děčín
367;Veverská Bítýška;okres Brno-venkov
368;Jiříkov;okres Děčín
369;Štramberk;okres Nový Jičín
370;Toužim;okres Karlovy Vary
371;Velké Opatovice;okres Blansko
372;Zliv;okres České Budějovice
373;Kralovice;okres Plzeň-sever
374;Staňkov;okres Domažlice
375;Libochovice;okres Litoměřice
376;Trmice;okres Ústí nad Labem
377;Hrušovany nad Jevišovkou;okres Znojmo
378;Město Albrechtice;okres Bruntál
379;Újezd u Brna;okres Brno-venkov
380;Lázně Bohdaneč;okres Pardubice
381;Krásná Lípa;okres Děčín
382;Třemošnice;okres Chrudim
383;Sadská;okres Nymburk
384;Košťany;okres Teplice
385;Nová Bystřice;okres Jindřichův Hradec
386;Žirovnice;okres Pelhřimov
387;Chrast;okres Chrudim
388;Opočno;okres Rychnov nad Kněžnou
389;Smiřice;okres Hradec Králové
390;Uhlířské Janovice;okres Kutná Hora
391;Velké Pavlovice;okres Břeclav
392;Kaznějov;okres Plzeň-sever
393;Ždírec nad Doubravou;okres Havlíčkův Brod
394;Velvary;okres Kladno
395;Jablonné nad Orlicí;okres Ústí nad Orlicí
396;Žacléř;okres Trutnov
397;Miroslav;okres Znojmo
398;Loštice;okres Šumperk
399;Loket;okres Sokolov
400;Volyně;okres Strakonice
401;Dolní Bousov;okres Mladá Boleslav
402;Spálené Poříčí;okres Plzeň-jih
403;Desná;okres Jablonec nad Nisou
404;Hodkovice nad Mohelkou;okres Liberec
405;Sedlec-Prčice;okres Příbram
406;Ivanovice na Hané;okres Vyškov
407;Morkovice-Slížany;okres Kroměříž
408;Zákupy;okres Česká Lípa
409;Slušovice;okres Zlín
410;Podivín;okres Břeclav
411;Chvaletice;okres Pardubice
412;Plasy;okres Plzeň-sever
413;Teplá;okres Cheb
414;Kunštát;okres Blansko
415;Hanušovice;okres Šumperk
416;Český Dub;okres Liberec
417;Městec Králové;okres Nymburk
418;Břidličná;okres Bruntál
419;Rtyně v Podkrkonoší;okres Trutnov
420;Rychnov u Jablonce nad Nisou;okres Jablonec nad Nisou
421;Terezín;okres Litoměřice
422;Úštěk;okres Litoměřice
423;Raspenava;okres Liberec
424;Kostelec na Hané;okres Prostějov
425;Jevíčko;okres Svitavy
426;Golčův Jeníkov;okres Havlíčkův Brod
427;Moravský Beroun;okres Olomouc
428;Budišov nad Budišovkou;okres Opava
429;Rotava;okres Sokolov
430;Vejprty;okres Chomutov
431;Neveklov;okres Benešov
432;Hrádek;okres Rokycany
433;Hejnice;okres Liberec
434;Koryčany;okres Kroměříž
435;Velké Hamry;okres Jablonec nad Nisou
436;Mladá Vožice;okres Tábor
437;Dašice;okres Pardubice
438;Kelč;okres Vsetín
439;Březová;okres Sokolov
440;Konice;okres Prostějov
441;Luže;okres Chrudim
442;Vyšší Brod;okres Český Krumlov
443;Rudolfov;okres České Budějovice
444;Javorník;okres Jeseník
445;Dolní Kounice;okres Brno-venkov
446;Chýnov;okres Tábor
447;Chabařovice;okres Ústí nad Labem
448;Ždánice;okres Hodonín
449;Zbiroh;okres Rokycany
450;Nové Sedlo;okres Sokolov
451;Nechanice;okres Hradec Králové
452;Počátky;okres Pelhřimov
453;Rokytnice nad Jizerou;okres Semily
454;Klobouky u Brna;okres Břeclav
455;Nové Hrady;okres České Budějovice
456;Netolice;okres Prachatice
457;Tovačov;okres Přerov
458;Janovice nad Úhlavou;okres Klatovy
459;Město Touškov;okres Plzeň-sever
460;Bohušovice nad Ohří;okres Litoměřice
461;Sobotka;okres Jičín
462;Solnice;okres Rychnov nad Kněžnou
463;Karolinka;okres Vsetín
464;Kryry;okres Louny
465;Meziměstí;okres Náchod
466;Veltrusy;okres Mělník
467;Hrochův Týnec;okres Chrudim
468;Jáchymov;okres Karlovy Vary
469;Pyšely;okres Benešov
470;Plumlov;okres Prostějov
471;Mirošov;okres Rokycany
472;Žebrák;okres Beroun
473;Slavonice;okres Jindřichův Hradec
474;Kardašova Řečice;okres Jindřichův Hradec
475;Ralsko;okres Česká Lípa
476;Týnec nad Labem;okres Kolín
477;Horní Benešov;okres Bruntál
478;Luby;okres Cheb
